id|custom_title|stubhub_title|vividseats_title
715455|New York Yankees at Toronto Blue Jays (Fri. 9/28/12)|Toronto Blue Jays vs New York Yankees [9/28/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715456|Seattle Mariners at Toronto Blue Jays (Thu. 9/13/12)|Toronto Blue Jays vs Seattle Mariners [9/13/2012] Tickets at StubHub!|Seattle Mariners at Toronto Blue Jays
715457|Tampa Bay Rays at Toronto Blue Jays (Wed. 4/18/12)|Toronto Blue Jays vs Tampa Bay Rays [4/18/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715458|Minnesota Twins at Toronto Blue Jays (Wed. 10/3/12)|Toronto Blue Jays vs Minnesota Twins [10/3/2012] Tickets at StubHub!|Minnesota Twins at Toronto Blue Jays
715459|Baltimore Orioles at Toronto Blue Jays (Wed. 5/30/12)|Toronto Blue Jays vs Baltimore Orioles [5/30/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715460|New York Yankees at Toronto Blue Jays (Sat. 8/11/12)|Toronto Blue Jays vs New York Yankees [8/11/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715461|Baltimore Orioles at Toronto Blue Jays (Wed. 9/5/12)|Toronto Blue Jays vs Baltimore Orioles [9/5/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715462|Cleveland Indians at Toronto Blue Jays (Sun. 7/15/12)|Toronto Blue Jays vs Cleveland Indians [7/15/2012] Tickets at StubHub!|Cleveland Indians at Toronto Blue Jays
715463|Tampa Bay Rays at Toronto Blue Jays (Tue. 5/15/12)|Toronto Blue Jays vs Tampa Bay Rays [5/15/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715464|Boston Red Sox at Toronto Blue Jays (Fri. 6/1/12)|Toronto Blue Jays vs Boston Red Sox [6/1/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715465|Texas Rangers at Toronto Blue Jays (Sun. 8/19/12)|Toronto Blue Jays vs Texas Rangers [8/19/2012] Tickets at StubHub!|Texas Rangers at Toronto Blue Jays
715466|Baltimore Orioles at Toronto Blue Jays (Fri. 4/13/12)|Toronto Blue Jays vs Baltimore Orioles [4/13/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715467|New York Yankees at Toronto Blue Jays (Sat. 9/29/12)|Toronto Blue Jays vs New York Yankees [9/29/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715468|Texas Rangers at Toronto Blue Jays (Sat. 8/18/12)|Toronto Blue Jays vs Texas Rangers [8/18/2012] Tickets at StubHub!|Texas Rangers at Toronto Blue Jays
715469|Tampa Bay Rays at Toronto Blue Jays (Sun. 9/2/12)|Toronto Blue Jays vs Tampa Bay Rays [9/2/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715470|Minnesota Twins at Toronto Blue Jays (Tue. 10/2/12)|Toronto Blue Jays vs Minnesota Twins [10/2/2012] Tickets at StubHub!|Minnesota Twins at Toronto Blue Jays
715471|New York Yankees at Toronto Blue Jays (Fri. 8/10/12)|Toronto Blue Jays vs New York Yankees [8/10/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715472|Philadelphia Phillies at Toronto Blue Jays (Sun. 6/17/12)|Toronto Blue Jays vs Philadelphia Phillies [6/17/2012] Tickets at StubHub!|Philadelphia Phillies at Toronto Blue Jays
715473|Seattle Mariners at Toronto Blue Jays (Sun. 4/29/12)|Toronto Blue Jays vs Seattle Mariners [4/29/2012] Tickets at StubHub!|Seattle Mariners at Toronto Blue Jays
715474|Seattle Mariners at Toronto Blue Jays (Tue. 9/11/12)|Toronto Blue Jays vs Seattle Mariners [9/11/2012] Tickets at StubHub!|Seattle Mariners at Toronto Blue Jays
715475|Oakland Athletics at Toronto Blue Jays (Tue. 7/24/12)|Toronto Blue Jays vs Oakland Athletics [7/24/2012] Tickets at StubHub!|Oakland Athletics at Toronto Blue Jays
715476|New York Mets at Toronto Blue Jays (Sun. 5/20/12)|Toronto Blue Jays vs New York Mets [5/20/2012] Tickets at StubHub!|New York Mets at Toronto Blue Jays
715477|Chicago White Sox at Toronto Blue Jays (Mon. 8/13/12)|Toronto Blue Jays vs Chicago White Sox [8/13/2012] Tickets at StubHub!|Chicago White Sox at Toronto Blue Jays
715478|Baltimore Orioles at Toronto Blue Jays (Mon. 9/3/12)|Toronto Blue Jays vs Baltimore Orioles [9/3/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715479|Minnesota Twins at Toronto Blue Jays (Mon. 10/1/12)|Toronto Blue Jays vs Minnesota Twins [10/1/2012] Tickets at StubHub!|Minnesota Twins at Toronto Blue Jays
715480|Philadelphia Phillies at Toronto Blue Jays (Fri. 6/15/12)|Toronto Blue Jays vs Philadelphia Phillies [6/15/2012] Tickets at StubHub!|Philadelphia Phillies at Toronto Blue Jays
715481|Baltimore Orioles at Toronto Blue Jays (Mon. 5/28/12)|Toronto Blue Jays vs Baltimore Orioles [5/28/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715482|Philadelphia Phillies at Toronto Blue Jays (Sat. 6/16/12)|Toronto Blue Jays vs Philadelphia Phillies [6/16/2012] Tickets at StubHub!|Philadelphia Phillies at Toronto Blue Jays
715483|New York Yankees at Toronto Blue Jays (Thu. 9/27/12)|Toronto Blue Jays vs New York Yankees [9/27/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715484|Seattle Mariners at Toronto Blue Jays (Sat. 4/28/12)|Toronto Blue Jays vs Seattle Mariners [4/28/2012] Tickets at StubHub!|Seattle Mariners at Toronto Blue Jays
715485|Los Angeles Angels at Toronto Blue Jays (Sun. 7/1/12)|Toronto Blue Jays vs Los Angeles Angels [7/1/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Toronto Blue Jays
715486|Baltimore Orioles at Toronto Blue Jays (Sun. 4/15/12)|Toronto Blue Jays vs Baltimore Orioles [4/15/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715487|Oakland Athletics at Toronto Blue Jays (Wed. 7/25/12)|Toronto Blue Jays vs Oakland Athletics [7/25/2012] Tickets at StubHub!|Oakland Athletics at Toronto Blue Jays
715488|New York Yankees at Toronto Blue Jays (Sun. 8/12/12)|Toronto Blue Jays vs New York Yankees [8/12/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715489|Texas Rangers at Toronto Blue Jays (Wed. 5/2/12)|Toronto Blue Jays vs Texas Rangers [5/2/2012] Tickets at StubHub!|Texas Rangers at Toronto Blue Jays
715490|Baltimore Orioles at Toronto Blue Jays (Tue. 5/29/12)|Toronto Blue Jays vs Baltimore Orioles [5/29/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715491|Kansas City Royals at Toronto Blue Jays (Mon. 7/2/12)|Toronto Blue Jays vs Kansas City Royals [7/2/2012] Tickets at StubHub!|Kansas City Royals at Toronto Blue Jays
715492|Baltimore Orioles at Toronto Blue Jays (Sat. 4/14/12)|Toronto Blue Jays vs Baltimore Orioles [4/14/2012] Tickets at StubHub!|Baltimore Orioles at Toronto Blue Jays
715493|Boston Red Sox at Toronto Blue Jays (Sun. 9/16/12)|Toronto Blue Jays vs Boston Red Sox [9/16/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715494|Oakland Athletics at Toronto Blue Jays (Thu. 7/26/12)|Toronto Blue Jays vs Oakland Athletics [7/26/2012] Tickets at StubHub!|Oakland Athletics at Toronto Blue Jays
715495|New York Mets at Toronto Blue Jays (Fri. 5/18/12)|Toronto Blue Jays vs New York Mets [5/18/2012] Tickets at StubHub!|New York Mets at Toronto Blue Jays
715496|Chicago White Sox at Toronto Blue Jays (Wed. 8/15/12)|Toronto Blue Jays vs Chicago White Sox [8/15/2012] Tickets at StubHub!|Chicago White Sox at Toronto Blue Jays
715497|Los Angeles Angels at Toronto Blue Jays (Sat. 6/30/12)|Toronto Blue Jays vs Los Angeles Angels [6/30/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Toronto Blue Jays
715498|Tampa Bay Rays at Toronto Blue Jays (Sat. 9/1/12)|Toronto Blue Jays vs Tampa Bay Rays [9/1/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715499|Washington Nationals at Toronto Blue Jays (Wed. 6/13/12)|Toronto Blue Jays vs Washington Nationals [6/13/2012] Tickets at StubHub!|Washington Nationals at Toronto Blue Jays
715500|Boston Red Sox at Toronto Blue Jays (Mon. 4/9/12)|Toronto Blue Jays vs Boston Red Sox [4/9/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715501|Texas Rangers at Toronto Blue Jays (Mon. 4/30/12)|Toronto Blue Jays vs Texas Rangers [4/30/2012] Tickets at StubHub!|Texas Rangers at Toronto Blue Jays
715502|Kansas City Royals at Toronto Blue Jays (Tue. 7/3/12)|Toronto Blue Jays vs Kansas City Royals [7/3/2012] Tickets at StubHub!|Kansas City Royals at Toronto Blue Jays
715503|Boston Red Sox at Toronto Blue Jays (Fri. 9/14/12)|Toronto Blue Jays vs Boston Red Sox [9/14/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715504|Tampa Bay Rays at Toronto Blue Jays (Fri. 8/31/12)|Toronto Blue Jays vs Tampa Bay Rays [8/31/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715505|Tampa Bay Rays at Toronto Blue Jays (Tue. 4/17/12)|Toronto Blue Jays vs Tampa Bay Rays [4/17/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715506|Detroit Tigers at Toronto Blue Jays (Fri. 7/27/12)|Toronto Blue Jays vs Detroit Tigers [7/27/2012] Tickets at StubHub!|Detroit Tigers at Toronto Blue Jays
715507|New York Mets at Toronto Blue Jays (Sat. 5/19/12)|Toronto Blue Jays vs New York Mets [5/19/2012] Tickets at StubHub!|New York Mets at Toronto Blue Jays
715508|Chicago White Sox at Toronto Blue Jays (Tue. 8/14/12)|Toronto Blue Jays vs Chicago White Sox [8/14/2012] Tickets at StubHub!|Chicago White Sox at Toronto Blue Jays
715509|Los Angeles Angels at Toronto Blue Jays (Fri. 6/29/12)|Toronto Blue Jays vs Los Angeles Angels [6/29/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Toronto Blue Jays
715510|Washington Nationals at Toronto Blue Jays (Tue. 6/12/12)|Toronto Blue Jays vs Washington Nationals [6/12/2012] Tickets at StubHub!|Washington Nationals at Toronto Blue Jays
715511|New York Yankees at Toronto Blue Jays (Sun. 9/30/12)|Toronto Blue Jays vs New York Yankees [9/30/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715512|Kansas City Royals at Toronto Blue Jays (Wed. 7/4/12)|Toronto Blue Jays vs Kansas City Royals [7/4/2012] Tickets at StubHub!|Kansas City Royals at Toronto Blue Jays
715513|Boston Red Sox at Toronto Blue Jays (Sat. 9/15/12)|Toronto Blue Jays vs Boston Red Sox [9/15/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715514|Tampa Bay Rays at Toronto Blue Jays (Thu. 8/30/12)|Toronto Blue Jays vs Tampa Bay Rays [8/30/2012] Tickets at StubHub!|Tampa Bay Rays at Toronto Blue Jays
715515|Detroit Tigers at Toronto Blue Jays (Sat. 7/28/12)|Toronto Blue Jays vs Detroit Tigers [7/28/2012] Tickets at StubHub!|Detroit Tigers at Toronto Blue Jays
715516|Washington Nationals at Toronto Blue Jays (Mon. 6/11/12)|Toronto Blue Jays vs Washington Nationals [6/11/2012] Tickets at StubHub!|Washington Nationals at Toronto Blue Jays
715517|New York Yankees at Toronto Blue Jays (Wed. 5/16/12)|Toronto Blue Jays vs New York Yankees [5/16/2012] Tickets at StubHub!|New York Yankees at Toronto Blue Jays
715518|Los Angeles Angels at Toronto Blue Jays (Thu. 6/28/12)|Toronto Blue Jays vs Los Angeles Angels [6/28/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Toronto Blue Jays
715519|Cleveland Indians at Toronto Blue Jays (Fri. 7/13/12)|Toronto Blue Jays vs Cleveland Indians [7/13/2012] Tickets at StubHub!|Cleveland Indians at Toronto Blue Jays
715520|Texas Rangers at Toronto Blue Jays (Tue. 5/1/12)|Toronto Blue Jays vs Texas Rangers [5/1/2012] Tickets at StubHub!|Texas Rangers at Toronto Blue Jays
715521|Boston Red Sox at Toronto Blue Jays (Sun. 6/3/12)|Toronto Blue Jays vs Boston Red Sox [6/3/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715522|Texas Rangers at Toronto Blue Jays (Fri. 8/17/12)|Toronto Blue Jays vs Texas Rangers [8/17/2012] Tickets at StubHub!|Texas Rangers at Toronto Blue Jays
715523|Boston Red Sox at Toronto Blue Jays (Wed. 4/11/12)|Toronto Blue Jays vs Boston Red Sox [4/11/2012] Tickets at StubHub!|Boston Red Sox at Toronto Blue Jays
715606|Los Angeles Angels at Baltimore Orioles (Wednesday June 27, 2012)|Baltimore Orioles vs Los Angeles Angels [6/27/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Baltimore Orioles
715607|Los Angeles Angels at Baltimore Orioles (Tuesday June 26, 2012)|Baltimore Orioles vs Los Angeles Angels [6/26/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Baltimore Orioles
715609|Los Angeles Angels at Boston Red Sox (Tuesday August 21, 2012)|Boston Red Sox vs Los Angeles Angels [8/21/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Boston Red Sox
715610|Los Angeles Angels at Boston Red Sox (Thursday August 23, 2012)|Boston Red Sox vs Los Angeles Angels [8/23/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Boston Red Sox
715611|Los Angeles Angels at Boston Red Sox (Wednesday August 22, 2012)|Boston Red Sox vs Los Angeles Angels [8/22/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Boston Red Sox
715755|Los Angeles Dodgers at Arizona Diamondbacks|Arizona Diamondbacks vs Los Angeles Dodgers [5/22/2012] Tickets at StubHub!|Los Angeles Dodgers at Arizona Diamondbacks
715756|Los Angeles Dodgers at Arizona Diamondbacks|Arizona Diamondbacks vs Los Angeles Dodgers [5/23/2012] Tickets at StubHub!|Los Angeles Dodgers at Arizona Diamondbacks
717685|Seattle Mariners at Los Angeles Angels (Thursday September 27, 2012)|Los Angeles Angels vs Seattle Mariners [9/27/2012] Tickets at StubHub!|Seattle Mariners at Los Angeles Angels of Anaheim
718160|Pittsburgh Pirates at San Francisco Giants|San Francisco Giants vs Pittsburgh Pirates [4/15/2012] Tickets at StubHub!|Pittsburgh Pirates at San Francisco Giants
718161|Pittsburgh Pirates at San Francisco Giants|San Francisco Giants vs Pittsburgh Pirates [4/14/2012] Tickets at StubHub!|Pittsburgh Pirates at San Francisco Giants
718162|Pittsburgh Pirates at San Francisco Giants|San Francisco Giants vs Pittsburgh Pirates [4/13/2012] Tickets at StubHub!|Pittsburgh Pirates at San Francisco Giants
719085|San Diego Padres at San Francisco Giants|San Francisco Giants vs San Diego Padres [4/27/2012] Tickets at StubHub!|San Diego Padres at San Francisco Giants
719086|Philadelphia Phillies at San Francisco Giants|San Francisco Giants vs Philadelphia Phillies [4/16/2012] Tickets at StubHub!|Philadelphia Phillies at San Francisco Giants
719087|San Diego Padres at San Francisco Giants|San Francisco Giants vs San Diego Padres [4/28/2012] Tickets at StubHub!|San Diego Padres at San Francisco Giants
719838|Philadelphia Phillies at San Francisco Giants|San Francisco Giants vs Philadelphia Phillies [4/17/2012] Tickets at StubHub!|Philadelphia Phillies at San Francisco Giants
719839|San Diego Padres at San Francisco Giants|San Francisco Giants vs San Diego Padres [4/29/2012] Tickets at StubHub!|San Diego Padres at San Francisco Giants
719840|Miami Marlins at San Francisco Giants|San Francisco Giants vs Miami Marlins [5/1/2012] Tickets at StubHub!|Miami Marlins at San Francisco Giants
719841|Oakland Athletics at San Francisco Giants|San Francisco Giants vs Oakland Athletics [5/18/2012] Tickets at StubHub!|Oakland Athletics at San Francisco Giants
719842|Philadelphia Phillies at San Francisco Giants|San Francisco Giants vs Philadelphia Phillies [4/18/2012] Tickets at StubHub!|Philadelphia Phillies at San Francisco Giants
720490|Philadelphia Phillies at New York Mets (Thursday July 5, 2012)|New York Mets vs Philadelphia Phillies [07/05/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720491|Philadelphia Phillies at New York Mets (Tuesday September 18, 2012)|New York Mets vs Philadelphia Phillies [09/18/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720492|Philadelphia Phillies at New York Mets (Wednesday September 19, 2012)|New York Mets vs Philadelphia Phillies [09/19/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720493|Atlanta Braves at New York Mets (Thursday April 5, 2012)|New York Mets vs Atlanta Braves [04/05/2012] Tickets at StubHub!|Atlanta Braves at New York Mets
720494|Philadelphia Phillies at New York Mets (Tuesday May 29, 2012)|New York Mets vs Philadelphia Phillies [05/29/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720495|Pittsburgh Pirates at New York Mets (Wednesday September 26, 2012)|New York Mets vs Pittsburgh Pirates [09/26/2012] Tickets at StubHub!|Pittsburgh Pirates at New York Mets
720496|Philadelphia Phillies at New York Mets (Monday September 17, 2012)|New York Mets vs Philadelphia Phillies [09/17/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720497|Pittsburgh Pirates at New York Mets (Thursday September 27, 2012)|New York Mets vs Pittsburgh Pirates [09/27/2012] Tickets at StubHub!|Pittsburgh Pirates at New York Mets
720498|New York Yankees at New York Mets (Saturday June 23, 2012)|New York Mets vs New York Yankees [06/23/2012] Tickets at StubHub!|New York Yankees at New York Mets
720499|New York Yankees at New York Mets (Friday June 22, 2012)|New York Mets vs New York Yankees [06/22/2012] Tickets at StubHub!|New York Yankees at New York Mets
720500|Philadelphia Phillies at New York Mets (Wednesday May 30, 2012)|New York Mets vs Philadelphia Phillies [05/30/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720501|New York Yankees at New York Mets (Sunday June 24, 2012)|New York Mets vs New York Yankees [06/24/2012] Tickets at StubHub!|New York Yankees at New York Mets
720502|Philadelphia Phillies at New York Mets (Monday May 28, 2012)|New York Mets vs Philadelphia Phillies [05/28/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720503|Philadelphia Phillies at New York Mets (Tuesday July 3, 2012)|New York Mets vs Philadelphia Phillies [07/03/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720504|Philadelphia Phillies at New York Mets (Wednesday July 4, 2012)|New York Mets vs Philadelphia Phillies [07/04/2012] Tickets at StubHub!|Philadelphia Phillies at New York Mets
720959|Los Angeles Dodgers at San Francisco Giants|San Francisco Giants vs Los Angeles Dodgers [6/27/2012] Tickets at StubHub!|Los Angeles Dodgers at San Francisco Giants
720960|San Diego Padres at San Francisco Giants|San Francisco Giants vs San Diego Padres [7/25/2012] Tickets at StubHub!|San Diego Padres at San Francisco Giants
720961|Los Angeles Dodgers at San Francisco Giants|San Francisco Giants vs Los Angeles Dodgers [6/25/2012] Tickets at StubHub!|Los Angeles Dodgers at San Francisco Giants
720962|Texas Rangers at San Francisco Giants|San Francisco Giants vs Texas Rangers [6/10/2012] Tickets at StubHub!|Texas Rangers at San Francisco Giants
720963|Milwaukee Brewers at San Francisco Giants|San Francisco Giants vs Milwaukee Brewers [5/4/2012] Tickets at StubHub!|Milwaukee Brewers at San Francisco Giants
720964|Texas Rangers at San Francisco Giants|San Francisco Giants vs Texas Rangers [6/8/2012] Tickets at StubHub!|Texas Rangers at San Francisco Giants
720965|Miami Marlins at San Francisco Giants|San Francisco Giants vs Miami Marlins [5/2/2012] Tickets at StubHub!|Miami Marlins at San Francisco Giants
720966|Houston Astros at San Francisco Giants|San Francisco Giants vs Houston Astros [6/14/2012] Tickets at StubHub!|Houston Astros at San Francisco Giants
720967|Arizona Diamondbacks at San Francisco Giants|San Francisco Giants vs Arizona Diamondbacks [5/29/2012] Tickets at StubHub!|Arizona Diamondbacks at San Francisco Giants
720968|Houston Astros at San Francisco Giants|San Francisco Giants vs Houston Astros [7/14/2012] Tickets at StubHub!|Houston Astros at San Francisco Giants
720969|Houston Astros at San Francisco Giants|San Francisco Giants vs Houston Astros [6/12/2012] Tickets at StubHub!|Houston Astros at San Francisco Giants
720970|Colorado Rockies at San Francisco Giants|San Francisco Giants vs Colorado Rockies [5/14/2012] Tickets at StubHub!|Colorado Rockies at San Francisco Giants
720971|San Diego Padres at San Francisco Giants|San Francisco Giants vs San Diego Padres [7/23/2012] Tickets at StubHub!|San Diego Padres at San Francisco Giants
720972|San Diego Padres at San Francisco Giants|San Francisco Giants vs San Diego Padres [7/24/2012] Tickets at StubHub!|San Diego Padres at San Francisco Giants
720973|Los Angeles Dodgers at San Francisco Giants|San Francisco Giants vs Los Angeles Dodgers [6/26/2012] Tickets at StubHub!|Los Angeles Dodgers at San Francisco Giants
720974|Atlanta Braves at San Francisco Giants|San Francisco Giants vs Atlanta Braves [8/26/2012] Tickets at StubHub!|Atlanta Braves at San Francisco Giants
720975|Cincinnati Reds at San Francisco Giants|San Francisco Giants vs Cincinnati Reds [6/30/2012] Tickets at StubHub!|Cincinnati Reds at San Francisco Giants
720976|Arizona Diamondbacks at San Francisco Giants|San Francisco Giants vs Arizona Diamondbacks [5/30/2012] Tickets at StubHub!|Arizona Diamondbacks at San Francisco Giants
720977|Milwaukee Brewers at San Francisco Giants|San Francisco Giants vs Milwaukee Brewers [5/5/2012] Tickets at StubHub!|Milwaukee Brewers at San Francisco Giants
720978|Colorado Rockies at San Francisco Giants|San Francisco Giants vs Colorado Rockies [8/11/2012] Tickets at StubHub!|Colorado Rockies at San Francisco Giants
720979|Arizona Diamondbacks at San Francisco Giants|San Francisco Giants vs Arizona Diamondbacks [5/28/2012] Tickets at StubHub!|Arizona Diamondbacks at San Francisco Giants
720980|Miami Marlins at San Francisco Giants|San Francisco Giants vs Miami Marlins [5/3/2012] Tickets at StubHub!|Miami Marlins at San Francisco Giants
720981|Houston Astros at San Francisco Giants|San Francisco Giants vs Houston Astros [6/13/2012] Tickets at StubHub!|Houston Astros at San Francisco Giants
720982|Arizona Diamondbacks at San Francisco Giants|San Francisco Giants vs Arizona Diamondbacks [9/27/2012] Tickets at StubHub!|Arizona Diamondbacks at San Francisco Giants
720983|Chicago Cubs at San Francisco Giants|San Francisco Giants vs Chicago Cubs [6/3/2012] Tickets at StubHub!|Chicago Cubs at San Francisco Giants
720984|Colorado Rockies at San Francisco Giants|San Francisco Giants vs Colorado Rockies [5/15/2012] Tickets at StubHub!|Colorado Rockies at San Francisco Giants
720985|Chicago Cubs at San Francisco Giants|San Francisco Giants vs Chicago Cubs [6/1/2012] Tickets at StubHub!|Chicago Cubs at San Francisco Giants
720987|Oakland Athletics at Seattle Mariners|Seattle Mariners vs Oakland Athletics [9/8/2012] Tickets at StubHub!|Oakland Athletics at Seattle Mariners
720988|Kansas City Royals at Seattle Mariners|Seattle Mariners vs Kansas City Royals [7/26/2012] Tickets at StubHub!|Kansas City Royals at Seattle Mariners
720989|Oakland Athletics at Seattle Mariners|Seattle Mariners vs Oakland Athletics [4/15/2012] Tickets at StubHub!|Oakland Athletics at Seattle Mariners
720990|Baltimore Orioles at Seattle Mariners|Seattle Mariners vs Baltimore Orioles [9/19/2012] Tickets at StubHub!|Baltimore Orioles at Seattle Mariners
720991|Detroit Tigers at Seattle Mariners|Seattle Mariners vs Detroit Tigers [5/9/2012] Tickets at StubHub!|Detroit Tigers at Seattle Mariners
720992|Los Angeles Angels at Seattle Mariners|Seattle Mariners vs Los Angeles Angels [8/31/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Seattle Mariners
720993|Cleveland Indians at Seattle Mariners|Seattle Mariners vs Cleveland Indians [4/17/2012] Tickets at StubHub!|Cleveland Indians at Seattle Mariners
720994|Baltimore Orioles at Seattle Mariners|Seattle Mariners vs Baltimore Orioles [9/17/2012] Tickets at StubHub!|Baltimore Orioles at Seattle Mariners
720996|Cleveland Indians at Seattle Mariners|Seattle Mariners vs Cleveland Indians [4/19/2012] Tickets at StubHub!|Cleveland Indians at Seattle Mariners
720997|Texas Rangers at Seattle Mariners|Seattle Mariners vs Texas Rangers [9/23/2012] Tickets at StubHub!|Texas Rangers at Seattle Mariners
720998|Los Angeles Angels at Seattle Mariners|Seattle Mariners vs Los Angeles Angels [9/2/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Seattle Mariners
720999|Texas Rangers at Seattle Mariners|Seattle Mariners vs Texas Rangers [5/21/2012] Tickets at StubHub!|Texas Rangers at Seattle Mariners
721000|Baltimore Orioles at Seattle Mariners|Seattle Mariners vs Baltimore Orioles [9/18/2012] Tickets at StubHub!|Baltimore Orioles at Seattle Mariners
721001|Chicago White Sox at Seattle Mariners|Seattle Mariners vs Chicago White Sox [4/21/2012] Tickets at StubHub!|Chicago White Sox at Seattle Mariners
721002|Texas Rangers at Seattle Mariners|Seattle Mariners vs Texas Rangers [9/21/2012] Tickets at StubHub!|Texas Rangers at Seattle Mariners
721003|Kansas City Royals at Seattle Mariners|Seattle Mariners vs Kansas City Royals [7/29/2012] Tickets at StubHub!|Kansas City Royals at Seattle Mariners
721004|Minnesota Twins at Seattle Mariners|Seattle Mariners vs Minnesota Twins [5/6/2012] Tickets at StubHub!|Minnesota Twins at Seattle Mariners
721005|Tampa Bay Rays at Seattle Mariners|Seattle Mariners vs Tampa Bay Rays [8/14/2012] Tickets at StubHub!|Tampa Bay Rays at Seattle Mariners
721006|Boston Red Sox at Seattle Mariners|Seattle Mariners vs Boston Red Sox [6/29/2012] Tickets at StubHub!|Boston Red Sox at Seattle Mariners
721007|Los Angeles Dodgers at Seattle Mariners|Seattle Mariners vs Los Angeles Dodgers [6/10/2012] Tickets at StubHub!|Los Angeles Dodgers at Seattle Mariners
721008|Toronto Blue Jays at Seattle Mariners|Seattle Mariners vs Toronto Blue Jays [7/31/2012] Tickets at StubHub!|Toronto Blue Jays at Seattle Mariners
721009|Minnesota Twins at Seattle Mariners|Seattle Mariners vs Minnesota Twins [5/4/2012] Tickets at StubHub!|Minnesota Twins at Seattle Mariners
721010|Los Angeles Angels at Seattle Mariners|Seattle Mariners vs Los Angeles Angels [10/2/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at Seattle Mariners
721011|Los Angeles Dodgers at Seattle Mariners|Seattle Mariners vs Los Angeles Dodgers [6/8/2012] Tickets at StubHub!|Los Angeles Dodgers at Seattle Mariners
721012|Boston Red Sox at Seattle Mariners|Seattle Mariners vs Boston Red Sox [9/4/2012] Tickets at StubHub!|Boston Red Sox at Seattle Mariners
721013|San Francisco Giants at Seattle Mariners|Seattle Mariners vs San Francisco Giants [6/17/2012] Tickets at StubHub!|San Francisco Giants at Seattle Mariners
721014|San Diego Padres at Seattle Mariners|Seattle Mariners vs San Diego Padres [6/14/2012] Tickets at StubHub!|San Diego Padres at Seattle Mariners
721015|Boston Red Sox at Seattle Mariners|Seattle Mariners vs Boston Red Sox [6/30/2012] Tickets at StubHub!|Boston Red Sox at Seattle Mariners
721016|Texas Rangers at Seattle Mariners|Seattle Mariners vs Texas Rangers [7/14/2012] Tickets at StubHub!|Texas Rangers at Seattle Mariners
721017|Cleveland Indians at Seattle Mariners|Seattle Mariners vs Cleveland Indians [8/20/2012] Tickets at StubHub!|Cleveland Indians at Seattle Mariners
721018|San Diego Padres at Seattle Mariners|Seattle Mariners vs San Diego Padres [6/12/2012] Tickets at StubHub!|San Diego Padres at Seattle Mariners
